epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47236,1.10142,3.76289,1.29201,0.43632,0.11948,0.12592,0.10186,1.16439,3.32869,1.28224,4.002e-05,4.002e-05,4.002e-05
2,5.42477,0.94996,2.59288,1.15449,0.86267,0.16268,0.21657,0.1615,1.21,2.70449,1.33114,8.62331e-05,8.62331e-05,8.62331e-05
3,7.16888,0.95875,1.53959,1.11706,0.96025,0.18291,0.30576,0.23224,1.1599,2.48295,1.34638,0.000131933,0.000131933,0.000131933
4,9.00946,0.88906,1.14585,1.07501,0.7551,0.28541,0.37777,0.29993,1.21997,2.47792,1.38744,0.000177119,0.000177119,0.000177119
5,10.7832,0.91409,0.98695,1.11537,0.68438,0.34592,0.34253,0.26344,1.22402,2.49288,1.36721,0.000221791,0.000221791,0.000221791
6,12.5158,0.84902,0.88457,1.06081,0.68704,0.35051,0.31537,0.22662,1.32148,2.55952,1.40378,0.00026595,0.00026595,0.00026595
7,14.2351,0.88145,0.84049,1.06663,0.73229,0.34485,0.33468,0.24579,1.3106,2.42156,1.38855,0.000309595,0.000309595,0.000309595
8,15.931,0.879,0.76572,1.05944,0.84767,0.28878,0.32592,0.24258,1.30548,2.30338,1.40419,0.000352726,0.000352726,0.000352726
9,17.6035,0.87597,0.76889,1.06967,0.80031,0.23026,0.28794,0.2131,1.35408,2.29395,1.40943,0.000395344,0.000395344,0.000395344
10,19.3752,0.83947,0.7018,1.00526,0.78963,0.23717,0.29487,0.22183,1.36001,2.26967,1.40222,0.000437449,0.000437449,0.000437449
11,21.0756,0.84752,0.74067,1.03387,0.72648,0.30044,0.32659,0.23005,1.31862,2.25533,1.40158,0.000479039,0.000479039,0.000479039
12,22.7413,0.86952,0.70849,1.02695,0.75314,0.29487,0.31437,0.22918,1.37539,2.34468,1.4979,0.000520117,0.000520117,0.000520117
13,24.3917,0.81263,0.60761,1.01953,0.85347,0.27107,0.3102,0.22964,1.36812,2.34598,1.47656,0.00056068,0.00056068,0.00056068
14,25.9987,0.83532,0.63295,1.03445,0.85347,0.27107,0.3102,0.22964,1.36812,2.34598,1.47656,0.00060073,0.00060073,0.00060073
15,27.5809,0.85593,0.65627,1.02173,0.88049,0.26175,0.31831,0.23168,1.45633,2.40984,1.5416,0.000615641,0.000615641,0.000615641
16,29.2409,0.85273,0.65636,1.03384,0.89335,0.27308,0.35493,0.27057,1.36899,2.33996,1.55215,0.000611972,0.000611972,0.000611972
17,30.8813,0.82245,0.64525,1.02461,0.88712,0.27948,0.3626,0.27219,1.34628,2.27475,1.56651,0.000608304,0.000608304,0.000608304
18,32.5371,0.78099,0.58652,1.00455,0.69932,0.33526,0.37085,0.2737,1.35343,2.19565,1.53478,0.000604635,0.000604635,0.000604635
19,34.2191,0.81233,0.59716,1.00145,0.77073,0.36703,0.39447,0.29594,1.33319,2.02136,1.50026,0.000600967,0.000600967,0.000600967
20,35.8735,0.80635,0.57351,1.02323,0.79144,0.36875,0.40962,0.296,1.41112,2.01947,1.57357,0.000597298,0.000597298,0.000597298
21,37.4782,0.83778,0.58405,1.04763,0.71029,0.36663,0.40041,0.2954,1.36779,2.02398,1.52392,0.00059363,0.00059363,0.00059363
22,39.0455,0.78837,0.55829,1.02518,0.71029,0.36663,0.40041,0.2954,1.36779,2.02398,1.52392,0.000589961,0.000589961,0.000589961
23,40.6489,0.79339,0.55018,0.98584,0.7075,0.37078,0.40897,0.30758,1.31683,2.00896,1.44721,0.000586293,0.000586293,0.000586293
24,42.307,0.74695,0.49475,0.99584,0.706,0.36741,0.40492,0.30085,1.36797,1.99709,1.48418,0.000582624,0.000582624,0.000582624
25,43.9255,0.73681,0.49108,0.97983,0.70061,0.37131,0.40152,0.28535,1.37538,2.00781,1.50682,0.000578956,0.000578956,0.000578956
26,45.6854,0.71394,0.47308,0.97698,0.69711,0.34681,0.40066,0.29261,1.35738,2.07399,1.48491,0.000575288,0.000575288,0.000575288
27,47.3314,0.71773,0.47173,0.97183,0.68599,0.34006,0.40371,0.31033,1.32645,2.11065,1.44605,0.000571619,0.000571619,0.000571619
28,48.9721,0.76608,0.49222,1.00443,0.63572,0.33727,0.39086,0.27152,1.33893,2.11445,1.47599,0.00056795,0.00056795,0.00056795
29,50.5571,0.71365,0.4579,0.98483,0.6508,0.29037,0.35605,0.2652,1.38305,2.02186,1.50488,0.000564282,0.000564282,0.000564282
30,52.1671,0.69862,0.46588,0.95816,0.6508,0.29037,0.35605,0.2652,1.38305,2.02186,1.50488,0.000560614,0.000560614,0.000560614
31,53.7917,0.72517,0.45857,0.98423,0.59363,0.32066,0.3894,0.28008,1.38122,2.00741,1.49122,0.000556945,0.000556945,0.000556945
32,55.4174,0.7324,0.46844,0.96616,0.584,0.33944,0.39241,0.29087,1.35386,1.99596,1.47182,0.000553276,0.000553276,0.000553276
33,57.0141,0.70516,0.4534,0.95296,0.5904,0.34131,0.39659,0.3006,1.37144,1.96242,1.50292,0.000549608,0.000549608,0.000549608
34,58.7508,0.71685,0.44535,0.96549,0.57749,0.33812,0.38688,0.2782,1.44034,1.99949,1.55756,0.00054594,0.00054594,0.00054594
35,60.3644,0.68819,0.45242,0.96056,0.5926,0.32441,0.3878,0.27813,1.45413,2.00174,1.58967,0.000542271,0.000542271,0.000542271
36,62.0237,0.78461,0.46773,1.00868,0.56573,0.34253,0.37403,0.2703,1.40972,1.99157,1.5501,0.000538602,0.000538602,0.000538602
37,63.6484,0.73783,0.44968,0.96281,0.57752,0.33764,0.37526,0.26496,1.40408,1.89792,1.53791,0.000534934,0.000534934,0.000534934
38,65.3163,0.67332,0.4289,0.93956,0.57752,0.33764,0.37526,0.26496,1.40408,1.89792,1.53791,0.000531266,0.000531266,0.000531266
39,66.9623,0.71607,0.46781,0.9616,0.58977,0.32845,0.37448,0.2633,1.39797,1.80595,1.54532,0.000527597,0.000527597,0.000527597
40,68.6072,0.69503,0.4254,0.96562,0.58894,0.32545,0.37298,0.2526,1.42532,1.81164,1.57282,0.000523928,0.000523928,0.000523928
41,70.2418,0.66968,0.42307,0.94538,0.57461,0.33093,0.37587,0.27021,1.41069,1.90031,1.54178,0.00052026,0.00052026,0.00052026
42,71.8982,0.68684,0.43272,0.95559,0.60055,0.32953,0.37394,0.2682,1.41299,1.95485,1.53359,0.000516592,0.000516592,0.000516592
43,73.5916,0.68112,0.40889,0.96828,0.60312,0.33157,0.36926,0.26876,1.41575,2.01671,1.55601,0.000512923,0.000512923,0.000512923
44,75.2516,0.66071,0.40327,0.94917,0.60759,0.3303,0.36449,0.25224,1.45338,2.10055,1.5853,0.000509254,0.000509254,0.000509254
45,76.8958,0.63641,0.40222,0.94214,0.60174,0.33255,0.36814,0.25751,1.45011,2.13602,1.58574,0.000505586,0.000505586,0.000505586
46,78.5129,0.67363,0.40968,0.96394,0.60174,0.33255,0.36814,0.25751,1.45011,2.13602,1.58574,0.000501917,0.000501917,0.000501917
47,80.1584,0.63637,0.39703,0.93399,0.60884,0.3348,0.36484,0.26561,1.44042,2.09981,1.58305,0.000498249,0.000498249,0.000498249
48,81.8073,0.63862,0.40876,0.92834,0.48478,0.3404,0.36272,0.27353,1.43974,2.13179,1.57129,0.00049458,0.00049458,0.00049458
49,83.4506,0.64897,0.39812,0.93113,0.45086,0.33902,0.36318,0.2716,1.45707,2.08873,1.56239,0.000490912,0.000490912,0.000490912
50,85.0936,0.65042,0.4044,0.93631,0.41375,0.3779,0.35877,0.25971,1.44204,2.07362,1.55058,0.000487244,0.000487244,0.000487244
51,86.7356,0.65044,0.41086,0.9688,0.50963,0.37203,0.35964,0.26682,1.45642,2.12969,1.53456,0.000483575,0.000483575,0.000483575
52,88.4903,0.61099,0.38784,0.93401,0.43273,0.37576,0.36195,0.27048,1.43215,2.08957,1.5298,0.000479907,0.000479907,0.000479907
53,90.1132,0.61377,0.39231,0.91743,0.57004,0.3303,0.35878,0.26516,1.44151,2.08583,1.54275,0.000476238,0.000476238,0.000476238
54,91.7113,0.63465,0.39689,0.94116,0.57004,0.3303,0.35878,0.26516,1.44151,2.08583,1.54275,0.000472569,0.000472569,0.000472569
55,93.3616,0.61597,0.3784,0.92055,0.5646,0.3303,0.36171,0.26858,1.42139,2.12429,1.53506,0.000468901,0.000468901,0.000468901
56,95.0168,0.62256,0.39142,0.95386,0.48012,0.3303,0.38694,0.28928,1.41628,2.1656,1.52332,0.000465232,0.000465232,0.000465232
57,96.6357,0.61865,0.38035,0.94179,0.47028,0.36782,0.39438,0.2924,1.41479,2.14616,1.50993,0.000461564,0.000461564,0.000461564
58,98.2905,0.64456,0.40148,0.92763,0.44697,0.37576,0.38688,0.28661,1.42039,2.07008,1.53051,0.000457895,0.000457895,0.000457895
59,99.9074,0.60564,0.37499,0.93241,0.47256,0.3303,0.36245,0.26716,1.40007,2.03623,1.52768,0.000454227,0.000454227,0.000454227
60,101.679,0.58408,0.36075,0.89611,0.46262,0.36858,0.3728,0.27861,1.3966,2.06567,1.51009,0.000450559,0.000450559,0.000450559
61,103.316,0.58726,0.37486,0.93782,0.47678,0.37576,0.37379,0.27963,1.39003,2.02953,1.52197,0.00044689,0.00044689,0.00044689
62,104.933,0.58917,0.37028,0.91068,0.47678,0.37576,0.37379,0.27963,1.39003,2.02953,1.52197,0.000443221,0.000443221,0.000443221
63,106.542,0.54445,0.34559,0.90428,0.47827,0.37576,0.37501,0.28408,1.43263,2.08108,1.55994,0.000439553,0.000439553,0.000439553
64,108.166,0.55084,0.3556,0.92248,0.48766,0.37576,0.37393,0.28211,1.43692,2.04172,1.55738,0.000435884,0.000435884,0.000435884
65,109.788,0.57392,0.3527,0.91423,0.48723,0.37576,0.38434,0.29305,1.44778,2.07315,1.55282,0.000432216,0.000432216,0.000432216
66,111.422,0.54566,0.3584,0.89691,0.5295,0.36181,0.39815,0.30434,1.46823,2.06734,1.57832,0.000428547,0.000428547,0.000428547
67,113.033,0.54686,0.34841,0.92079,0.48174,0.37576,0.38053,0.29004,1.46866,2.18794,1.60102,0.000424879,0.000424879,0.000424879
