epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65945,1.82392,4.71205,1.66983,0.8306,0.05874,0.0856,0.05787,1.41966,3.38375,1.4072,7.28e-05,7.28e-05,7.28e-05
2,13.1802,1.67095,2.92745,1.43161,0.55968,0.29835,0.2976,0.1798,1.51237,4.34847,1.31189,0.000149324,0.000149324,0.000149324
3,18.4051,1.55597,2.06511,1.32188,0.53323,0.34369,0.37957,0.22681,1.43974,2.95603,1.28817,0.000224998,0.000224998,0.000224998
4,23.536,1.50401,1.69479,1.30969,0.62871,0.5437,0.62377,0.36427,1.55578,1.84815,1.27205,0.00029982,0.00029982,0.00029982
5,28.6328,1.47417,1.51971,1.3002,0.78104,0.64379,0.66248,0.37953,1.43866,1.38523,1.25361,0.000373792,0.000373792,0.000373792
6,33.6298,1.4493,1.38214,1.28824,0.76523,0.65036,0.68209,0.42533,1.39072,1.14146,1.22978,0.000442487,0.000442487,0.000442487
7,38.6871,1.41494,1.21667,1.27579,0.77339,0.69808,0.72382,0.4647,1.4297,1.0261,1.25702,0.000439985,0.000439985,0.000439985
8,43.7541,1.36852,1.09293,1.22691,0.80014,0.64066,0.71797,0.45094,1.45619,1.03891,1.26347,0.000437483,0.000437483,0.000437483
9,48.7489,1.37346,1.06604,1.22939,0.79,0.71558,0.75784,0.48186,1.38933,1.00926,1.2531,0.00043498,0.00043498,0.00043498
10,53.798,1.35628,1.03505,1.20744,0.67792,0.70519,0.69055,0.44127,1.39081,1.07364,1.24897,0.000432478,0.000432478,0.000432478
11,58.7682,1.33691,0.98158,1.20636,0.732,0.78426,0.84911,0.56819,1.34705,0.9123,1.22209,0.000429975,0.000429975,0.000429975
12,63.8582,1.27748,0.99249,1.22116,0.88335,0.71124,0.80913,0.56152,1.31204,0.90278,1.21855,0.000427472,0.000427472,0.000427472
13,68.7808,1.26288,0.87125,1.15983,0.65299,0.76213,0.84159,0.56963,1.30562,0.90808,1.23657,0.00042497,0.00042497,0.00042497
14,73.8605,1.26038,0.87677,1.16509,0.72856,0.8222,0.84163,0.57135,1.28751,0.81931,1.22069,0.000422468,0.000422468,0.000422468
